system,recovery_date
sys11612,2021-07-10
sys11612,2020-11-01
sys11612,2021-01-26
sys11612,2022-03-16
sys11612,2020-04-10
sys11612,2023-02-05
sys11612,2019-09-12
sys11612,2020-09-07
sys11612,2018-12-02
sys11612,2021-04-17
sys11612,2022-10-23
sys11612,2023-04-02
sys11612,2023-08-24
sys11612,2019-12-13
sys11612,2018-04-16
sys11612,2023-04-24
sys11612,2019-10-09
sys11612,2019-09-10
sys11612,2022-03-02
sys11612,2022-05-02
sys11612,2019-11-23
sys11612,2021-12-14
sys11612,2019-01-20
sys11612,2018-06-07
sys11612,2020-02-22
sys11612,2022-08-09
sys11612,2020-02-25
sys11612,2021-12-30
sys11612,2022-02-09
sys11612,2020-06-30
sys11612,2019-11-17
sys11612,2021-02-27
sys11612,2023-01-12
sys11612,2022-02-21
sys11612,2021-09-29
sys11612,2018-02-10
sys11612,2019-05-19
sys11612,2021-01-10
sys11612,2018-11-23
sys11612,2020-12-23
sys11612,2022-01-02
sys11612,2022-01-20
sys11612,2021-10-27
sys11612,2022-03-18
sys11612,2023-01-29
sys11612,2022-12-17
sys11612,2022-11-26
sys11612,2022-10-20
sys11612,2022-04-15
sys11612,2019-12-17
sys11612,2022-05-09
sys11612,2018-01-19
sys11612,2020-02-17
sys11612,2023-12-23
sys11612,2021-07-19
sys11612,2020-05-09
sys11612,2022-06-07
sys11612,2021-01-06
sys11612,2022-01-09
sys11612,2020-11-03
sys11612,2023-12-31
sys11612,2019-10-13
sys11612,2023-09-24
sys11612,2018-10-12
sys11612,2018-07-30
sys11612,2022-12-06
sys11612,2021-05-05
sys11612,2020-04-15
sys11612,2020-02-02
sys11612,2021-09-23
sys11612,2023-07-06
sys11612,2023-09-14
sys11612,2018-02-13
sys11612,2022-06-19
sys11612,2023-03-24
sys11612,2019-01-16
sys11612,2022-01-08
sys11612,2020-06-28
sys11612,2021-12-29
sys11612,2018-03-13
sys11612,2023-01-26
sys11612,2023-01-28
sys11612,2018-09-30
sys11612,2018-08-19
sys11612,2021-07-31
sys11612,2019-11-27
sys11612,2022-05-19
sys11612,2021-12-10
sys11612,2020-08-31
sys11612,2022-04-14
sys11612,2021-02-24
sys11612,2019-01-04
sys11612,2021-02-10
sys11612,2022-12-13
sys11612,2022-02-14
sys11705,2020-02-10
sys11705,2021-02-21
sys11705,2021-07-24
sys11705,2023-07-08
sys11705,2022-08-28
sys11705,2020-10-12
sys11705,2023-02-28
sys11705,2019-11-26
sys11705,2019-01-01
sys11705,2022-09-03
sys11705,2020-03-08
sys11705,2022-03-04
sys11705,2019-06-24
sys11705,2020-03-25
sys11705,2023-06-30
sys11705,2020-05-07
sys11705,2020-06-09
sys11705,2018-06-02
sys11705,2020-04-05
sys11705,2022-06-22
sys11705,2018-01-20
sys11705,2018-10-19
sys11705,2021-04-02
sys11705,2018-10-15
sys11705,2020-11-02
sys11705,2021-01-17
sys11705,2022-06-27
sys11705,2018-04-25
sys11705,2018-10-09
sys11705,2022-09-17
sys11705,2018-04-05
sys11705,2020-06-03
sys11705,2021-07-15
sys11705,2020-03-03
sys11705,2022-03-16
sys11705,2020-04-10
sys11705,2023-11-24
sys11705,2023-02-05
sys11705,2022-09-07
sys11705,2019-09-12
sys11705,2022-02-11
sys11705,2020-01-04
sys11705,2018-12-17
sys11705,2022-06-30
sys11705,2023-04-02
sys11705,2021-04-17
sys11705,2023-08-24
sys11705,2019-12-19
sys11705,2018-09-24
sys11705,2023-01-08
sys11705,2019-11-29
sys11705,2023-04-24
sys11705,2019-03-18
sys11705,2019-09-10
sys11705,2022-05-02
sys11705,2020-09-17
sys11705,2020-05-24
sys11705,2023-10-12
sys11705,2021-07-09
sys11705,2019-03-02
sys11705,2020-06-30
sys11705,2021-02-27
sys11705,2018-03-11
sys11705,2021-03-31
sys11705,2019-05-19
sys11705,2023-07-04
sys11705,2019-08-19
sys11705,2023-01-29
sys11705,2022-03-18
sys11705,2018-05-02
sys11705,2022-09-19
sys11705,2022-04-15
sys11705,2019-09-02
sys11705,2021-01-20
sys11705,2020-12-04
sys11705,2020-03-31
sys11705,2022-05-09
sys11705,2018-01-19
sys11705,2020-02-17
sys11705,2022-03-08
sys11705,2021-02-28
sys11705,2021-07-19
sys11705,2020-05-09
sys11705,2022-06-07
sys11705,2020-11-03
sys11705,2020-03-19
sys11705,2023-12-31
sys11705,2022-09-11
sys11705,2019-10-29
sys11705,2018-10-12
sys11705,2023-10-06
sys11705,2018-07-30
sys11705,2021-05-05
sys11705,2020-10-02
sys11705,2020-02-13
sys11705,2020-04-15
sys11705,2023-09-14
sys11705,2018-02-13
sys11705,2022-06-19
sys11705,2023-03-24
sys11705,2019-10-17
sys11705,2023-08-02
sys11705,2019-01-16
sys11705,2020-06-28
sys11705,2018-08-21
sys11705,2018-04-17
sys11705,2018-03-13
sys11705,2023-11-10
sys11705,2021-02-25
sys11705,2018-09-30
sys11705,2021-07-31
sys11705,2023-10-01
sys11705,2023-05-05
sys11705,2019-05-07
sys11705,2019-12-21
sys11705,2020-03-02
sys11705,2020-08-31
sys11705,2022-04-14
sys11705,2022-02-12
sys11705,2021-05-03
sys11705,2022-12-13
sys11705,2023-10-04
sys11802,2021-01-12
sys11802,2018-11-30
sys11802,2019-10-28
sys11802,2019-06-24
sys11802,2020-03-25
sys11802,2019-03-01
sys11802,2020-08-23
sys11802,2021-02-20
sys11802,2022-12-22
sys11802,2021-11-04
sys11802,2021-12-08
sys11802,2020-01-13
sys11802,2020-10-18
sys11802,2022-02-06
sys11802,2018-06-02
sys11802,2020-04-05
sys11802,2018-12-13
sys11802,2022-03-22
sys11802,2021-10-29
sys11802,2019-11-03
sys11802,2019-11-18
sys11802,2020-12-07
sys11802,2018-10-15
sys11802,2020-11-02
sys11802,2022-02-08
sys11802,2019-10-07
sys11802,2021-01-17
sys11802,2021-10-17
sys11802,2018-04-14
sys11802,2018-04-25
sys11802,2018-10-09
sys11802,2020-04-22
sys11802,2023-03-06
sys11802,2019-11-25
sys11802,2020-04-10
sys11802,2022-11-02
sys11802,2020-02-12
sys11802,2020-11-12
sys11802,2021-10-12
sys11802,2018-12-22
sys11802,2019-09-12
sys11802,2019-01-24
sys11802,2018-02-05
sys11802,2020-10-08
sys11802,2021-04-17
sys11802,2022-10-23
sys11802,2020-09-26
sys11802,2018-02-16
sys11802,2019-02-16
sys11802,2019-10-16
sys11802,2019-09-10
sys11802,2022-03-02
sys11802,2022-05-02
sys11802,2020-11-17
sys11802,2018-10-18
sys11802,2019-12-05
sys11802,2021-10-08
sys11802,2021-03-30
sys11802,2019-02-09
sys11802,2022-12-23
sys11802,2021-02-27
sys11802,2022-01-04
sys11802,2018-03-11
sys11802,2022-02-21
sys11802,2021-09-29
sys11802,2018-02-10
sys11802,2019-05-19
sys11802,2021-01-11
sys11802,2019-12-23
sys11802,2021-01-10
sys11802,2022-01-20
sys11802,2018-12-31
sys11802,2018-05-02
sys11802,2022-09-19
sys11802,2022-10-20
sys11802,2019-12-17
sys11802,2020-03-31
sys11802,2020-02-17
sys11802,2022-10-09
sys11802,2022-06-07
sys11802,2019-01-02
sys11802,2021-01-06
sys11802,2023-01-18
sys11802,2020-11-03
sys11802,2020-03-19
sys11802,2020-11-08
sys11802,2020-10-04
sys11802,2022-09-11
sys11802,2020-12-25
sys11802,2021-01-23
sys11802,2019-01-28
sys11802,2023-01-20
sys11802,2020-10-02
sys11802,2022-10-29
sys11802,2023-01-11
sys11802,2019-02-19
sys11802,2019-03-19
sys11802,2021-12-07
sys11802,2022-11-12
sys11802,2018-01-18
sys11802,2019-12-11
sys11802,2020-02-02
sys11802,2021-09-23
sys11802,2021-11-23
sys11802,2020-01-12
sys11802,2018-11-04
sys11802,2019-10-17
sys11802,2018-10-10
sys11802,2023-01-28
sys11802,2018-08-19
sys11802,2021-08-09
sys11802,2020-05-04
sys11802,2022-03-13
sys11802,2018-09-29
sys11802,2019-02-27
sys11802,2020-08-31
sys11802,2021-11-28
sys11802,2021-02-24
sys11802,2022-04-14
sys11802,2022-12-13
sys11802,2022-02-13
sys11814,2020-02-10
sys11814,2021-07-24
sys11814,2023-07-08
sys11814,2021-05-30
sys11814,2023-02-28
sys11814,2019-10-28
sys11814,2020-07-12
sys11814,2019-06-24
sys11814,2019-03-01
sys11814,2021-02-20
sys11814,2018-11-28
sys11814,2023-03-03
sys11814,2023-06-30
sys11814,2020-05-07
sys11814,2022-05-30
sys11814,2021-09-05
sys11814,2018-06-02
sys11814,2021-04-21
sys11814,2018-02-11
sys11814,2022-12-18
sys11814,2022-02-08
sys11814,2023-10-05
sys11814,2018-11-02
sys11814,2019-10-07
sys11814,2022-08-12
sys11814,2023-07-10
sys11814,2021-10-17
sys11814,2018-10-09
sys11814,2019-12-16
sys11814,2022-09-17
sys11814,2019-07-23
sys11814,2020-06-03
sys11814,2021-06-06
sys11814,2020-01-09
sys11814,2021-07-15
sys11814,2018-08-18
sys11814,2022-03-26
sys11814,2020-04-10
sys11814,2021-05-02
sys11814,2020-06-20
sys11814,2023-02-05
sys11814,2019-09-12
sys11814,2023-06-24
sys11814,2021-04-14
sys11814,2019-10-08
sys11814,2023-04-02
sys11814,2021-04-17
sys11814,2018-03-20
sys11814,2022-10-23
sys11814,2020-09-26
sys11814,2020-10-30
sys11814,2021-12-18
sys11814,2023-04-24
sys11814,2019-09-10
sys11814,2019-11-23
sys11814,2021-07-09
sys11814,2021-03-05
sys11814,2018-06-07
sys11814,2020-02-22
sys11814,2022-08-09
sys11814,2020-02-25
sys11814,2019-05-11
sys11814,2019-11-17
sys11814,2021-02-03
sys11814,2023-01-12
sys11814,2023-08-21
sys11814,2018-03-11
sys11814,2021-09-29
sys11814,2023-07-04
sys11814,2021-09-06
sys11814,2019-08-19
sys11814,2021-03-12
sys11814,2019-05-20
sys11814,2023-01-31
sys11814,2022-01-06
sys11814,2020-06-11
sys11814,2018-05-02
sys11814,2022-09-19
sys11814,2022-10-20
sys11814,2019-11-06
sys11814,2023-01-27
sys11814,2022-06-03
sys11814,2019-12-12
sys11814,2022-08-18
sys11814,2022-05-09
sys11814,2020-02-17
sys11814,2021-07-19
sys11814,2020-04-07
sys11814,2020-07-21
sys11814,2021-02-15
sys11814,2019-10-14
sys11814,2020-03-19
sys11814,2023-12-31
sys11814,2020-12-25
sys11814,2018-10-12
sys11814,2019-05-25
sys11814,2021-05-05
sys11814,2020-09-24
sys11814,2022-02-10
sys11814,2019-03-19
sys11814,2020-04-15
sys11814,2023-09-14
sys11814,2019-11-15
sys11814,2018-11-04
sys11814,2023-03-24
sys11814,2019-10-17
sys11814,2023-08-02
sys11814,2019-02-10
sys11814,2022-01-08
sys11814,2019-12-18
sys11814,2022-04-06
sys11814,2018-04-17
sys11814,2021-06-10
sys11814,2018-03-13
sys11814,2018-11-21
sys11814,2020-09-18
sys11814,2018-09-30
sys11814,2023-01-22
sys11814,2021-07-31
sys11814,2021-08-09
sys11814,2021-09-22
sys11814,2023-10-01
sys11814,2019-02-26
sys11814,2020-03-02
sys11814,2019-02-27
sys11814,2019-11-27
sys11814,2020-08-31
sys11814,2022-04-14
sys11814,2023-07-27
sys11814,2023-10-04
sys11814,2018-02-17
sys11814,2018-02-08
sys11814,2022-02-13
sys11879,2020-02-10
sys11879,2021-07-24
sys11879,2023-04-04
sys11879,2022-05-13
sys11879,2023-02-15
sys11879,2020-07-02
sys11879,2020-03-25
sys11879,2022-12-22
sys11879,2020-01-14
sys11879,2020-01-13
sys11879,2020-10-18
sys11879,2023-07-16
sys11879,2020-06-09
sys11879,2023-05-10
sys11879,2018-06-02
sys11879,2018-05-25
sys11879,2020-09-08
sys11879,2019-11-03
sys11879,2018-10-19
sys11879,2018-04-11
sys11879,2020-03-09
sys11879,2018-10-13
sys11879,2018-10-15
sys11879,2020-11-02
sys11879,2022-11-14
sys11879,2022-11-15
sys11879,2022-02-08
sys11879,2019-06-17
sys11879,2022-07-17
sys11879,2018-10-09
sys11879,2019-12-16
sys11879,2019-02-18
sys11879,2023-07-25
sys11879,2018-06-26
sys11879,2022-04-23
sys11879,2018-01-07
sys11879,2020-11-01
sys11879,2018-01-09
sys11879,2021-01-26
sys11879,2020-02-12
sys11879,2021-12-09
sys11879,2022-08-14
sys11879,2022-05-22
sys11879,2023-02-05
sys11879,2019-09-12
sys11879,2018-02-15
sys11879,2022-05-24
sys11879,2021-10-16
sys11879,2019-09-15
sys11879,2018-12-02
sys11879,2021-04-17
sys11879,2019-11-02
sys11879,2020-03-30
sys11879,2020-10-30
sys11879,2018-12-03
sys11879,2023-07-30
sys11879,2019-05-30
sys11879,2020-10-01
sys11879,2023-03-17
sys11879,2019-09-17
sys11879,2019-06-19
sys11879,2019-11-23
sys11879,2018-03-21
sys11879,2019-03-06
sys11879,2022-05-29
sys11879,2021-08-10
sys11879,2021-12-30
sys11879,2022-02-09
sys11879,2019-11-17
sys11879,2021-02-27
sys11879,2022-01-04
sys11879,2023-04-05
sys11879,2021-01-11
sys11879,2022-06-24
sys11879,2022-07-22
sys11879,2023-02-01
sys11879,2021-01-21
sys11879,2018-04-06
sys11879,2019-06-25
sys11879,2019-08-19
sys11879,2020-09-06
sys11879,2019-05-09
sys11879,2022-11-01
sys11879,2022-01-16
sys11879,2022-07-31
sys11879,2021-10-26
sys11879,2019-03-27
sys11879,2020-06-11
sys11879,2018-08-10
sys11879,2018-11-26
sys11879,2022-04-15
sys11879,2018-12-19
sys11879,2019-12-17
sys11879,2021-02-26
sys11879,2019-11-06
sys11879,2022-06-03
sys11879,2018-01-10
sys11879,2020-02-17
sys11879,2021-07-19
sys11879,2022-06-07
sys11879,2021-06-01
sys11879,2021-11-20
sys11879,2023-07-15
sys11879,2019-12-22
sys11879,2019-02-05
sys11879,2022-05-05
sys11879,2018-04-10
sys11879,2021-05-12
sys11879,2023-12-31
sys11879,2021-09-11
sys11879,2021-04-07
sys11879,2023-11-29
sys11879,2019-10-19
sys11879,2023-11-16
sys11879,2020-11-29
sys11879,2023-08-06
sys11879,2020-05-02
sys11879,2023-01-20
sys11879,2020-09-24
sys11879,2019-01-30
sys11879,2023-01-11
sys11879,2021-11-30
sys11879,2020-04-15
sys11879,2018-11-24
sys11879,2021-12-24
sys11879,2021-04-15
sys11879,2018-11-04
sys11879,2023-06-23
sys11879,2018-12-21
sys11879,2018-08-30
sys11879,2018-01-29
sys11879,2022-03-20
sys11879,2021-03-28
sys11879,2023-07-11
sys11879,2021-02-25
sys11879,2023-01-28
sys11879,2020-01-19
sys11879,2021-07-31
sys11879,2023-03-11
sys11879,2021-11-18
sys11879,2020-05-04
sys11879,2023-05-05
sys11879,2019-05-07
sys11879,2018-08-12
sys11879,2019-08-27
sys11879,2018-05-04
sys11879,2019-12-21
sys11879,2020-03-02
sys11879,2021-06-21
sys11879,2018-08-02
sys11879,2022-09-20
sys11879,2022-06-18
sys11879,2023-05-04
sys11879,2018-02-17
sys11879,2022-12-15
sys11952,2020-02-10
sys11952,2021-07-24
sys11952,2023-04-04
sys11952,2023-02-28
sys11952,2019-10-28
sys11952,2019-06-24
sys11952,2020-03-25
sys11952,2021-02-20
sys11952,2023-03-03
sys11952,2018-02-12
sys11952,2023-06-30
sys11952,2022-05-30
sys11952,2021-09-05
sys11952,2023-11-22
sys11952,2018-06-02
sys11952,2022-06-22
sys11952,2020-09-08
sys11952,2018-07-14
sys11952,2023-03-02
sys11952,2021-01-17
sys11952,2023-07-10
sys11952,2018-10-09
sys11952,2022-09-17
sys11952,2020-01-08
sys11952,2020-06-03
sys11952,2019-01-17
sys11952,2021-07-15
sys11952,2023-05-02
sys11952,2021-07-10
sys11952,2018-08-18
sys11952,2020-04-10
sys11952,2018-01-25
sys11952,2018-12-17
sys11952,2019-10-08
sys11952,2023-04-02
sys11952,2021-04-17
sys11952,2023-03-10
sys11952,2018-11-11
sys11952,2018-09-24
sys11952,2023-01-08
sys11952,2020-03-29
sys11952,2022-06-21
sys11952,2023-04-24
sys11952,2019-03-18
sys11952,2019-11-23
sys11952,2018-10-18
sys11952,2020-02-16
sys11952,2021-07-09
sys11952,2021-10-20
sys11952,2021-03-30
sys11952,2022-01-22
sys11952,2021-12-04
sys11952,2018-06-07
sys11952,2020-06-30
sys11952,2021-02-27
sys11952,2019-05-19
sys11952,2021-12-01
sys11952,2023-01-31
sys11952,2020-06-11
sys11952,2018-05-02
sys11952,2019-02-28
sys11952,2022-06-03
sys11952,2021-07-19
sys11952,2022-05-18
sys11952,2020-05-09
sys11952,2020-12-16
sys11952,2021-11-09
sys11952,2020-07-21
sys11952,2019-10-14
sys11952,2023-12-31
sys11952,2018-10-12
sys11952,2018-05-18
sys11952,2021-05-05
sys11952,2019-05-18
sys11952,2020-04-15
sys11952,2023-09-14
sys11952,2018-09-28
sys11952,2022-06-17
sys11952,2023-08-02
sys11952,2020-03-20
sys11952,2019-01-16
sys11952,2020-06-28
sys11952,2020-11-30
sys11952,2018-03-13
sys11952,2021-04-13
sys11952,2018-11-21
sys11952,2021-10-21
sys11952,2021-07-31
sys11952,2018-04-13
sys11952,2021-08-09
sys11952,2021-09-22
sys11952,2023-10-01
sys11952,2020-08-31
sys11952,2021-02-24
sys11952,2019-01-04
sys11952,2021-05-03
sys11952,2023-10-04
sys11967,2021-02-21
sys11967,2022-10-01
sys11967,2018-05-29
sys11967,2020-03-08
sys11967,2019-03-20
sys11967,2019-06-24
sys11967,2019-06-05
sys11967,2022-12-22
sys11967,2022-01-10
sys11967,2020-05-07
sys11967,2020-11-10
sys11967,2021-09-05
sys11967,2018-06-02
sys11967,2019-07-24
sys11967,2019-11-03
sys11967,2018-03-19
sys11967,2018-10-19
sys11967,2019-08-13
sys11967,2021-04-02
sys11967,2020-11-02
sys11967,2022-02-08
sys11967,2019-06-17
sys11967,2021-10-13
sys11967,2018-04-25
sys11967,2018-10-09
sys11967,2020-06-03
sys11967,2021-07-15
sys11967,2022-04-23
sys11967,2021-07-10
sys11967,2020-11-01
sys11967,2019-11-25
sys11967,2020-02-12
sys11967,2022-09-07
sys11967,2023-03-23
sys11967,2019-09-15
sys11967,2023-10-08
sys11967,2018-12-02
sys11967,2021-04-17
sys11967,2022-10-23
sys11967,2022-07-25
sys11967,2023-04-02
sys11967,2019-12-13
sys11967,2022-11-03
sys11967,2021-01-19
sys11967,2019-06-19
sys11967,2020-11-17
sys11967,2018-10-18
sys11967,2020-06-13
sys11967,2021-10-08
sys11967,2023-03-15
sys11967,2018-06-13
sys11967,2021-06-11
sys11967,2021-05-19
sys11967,2022-02-09
